latitude;longitude;GID;FECHA_DE_MODIFICACION;TITULO;TIPO;DIRECCION;COMO_IR;BARRIO;GALERIA_DE_IMAGENES;LINEAS DE OMNIBUS;TELEFONO;CORREO;PAGINA_WEB;INFORMACION_GENERAL;SERVICIOS_QUE_SE_PRESTAN;ACCESIBILIDAD_DEL_ENTORNO;"ESTACIONAMIENTO""";LUGARES;TIPO_DE_PUERTA;RAMPA;DESCRIPCION_DE_RAMPAS;ESCALONES;BANIOS;DESCRIPCION_BANIOS;CIRCULACION_ACCESIBLE;ASCENSOR;ACCESIBILIDAD_FISICA;ACCESIBILIDAD_VISUAL;ACCESIBILIDAD_AUDITIVA;ACCESIBILIDAD_COMUNICACIONAL;CANTIDAD_DE_SALAS;INFORMACION_DE_SALAS
-34.899.502.906.998;-56.178.181.168.528;56;13/05/2015 - 12:02;Facultad de Psicolog?a UdelaR;Centros educativos;Trist?n Narvaja 1674;http://www.montevideo.gub.uy/aplicacion/como-ir?key=8n8ttucsrm;CORDON;;;;;http://www.psico.edu.uy/;Se han realizado diversas rampas e instalado un ascensor con botoneras para personas ciegas. Se incorporaron barandas en rampas, umbrales autodeslizantes, ajustado desniveles e incorporado protecci?n a las barandas y escalones lo que permite una accesibilidad sin barreras en toda la facultad, pudiendo hacer uso de cualquiera de las instalaciones dispuestas en los 3 niveles que la conforman.La construcci?n y reconstrucci?n de la Psicolog?a universitaria.La recuperaci?n de la democracia en el pa?s se?ala el comienzo de la restauraci?n universitaria, de los principios auton?micos, de su posici?n cr?tica y de su compromiso social. La creaci?n de la Facultad de Psicolog?a el 15 de marzo de 1994 el Consejo Directivo Central de la Universidad de la Rep?blica aprueba, por unanimidad, la creaci?n de esta Facultad.;;Rampas en los cruces. Se?alizaci?n en las veredas de acceso.;;;Batiente;SI;La rampa de acceso para personas en silla de ruedas se encuentra por la calle Uruguay. Debidamente se?alizada.;S?;Ba?os accesibles;;Si. Se han realizado diversas rampas e instalado un ascensor con botoneras para personas ciegas. Se incorporaron barandas en rampas, umbrales autodeslizantes, ajustado desniveles e incorporado protecci?n a las barandas y escalones lo que permite una accesibilidad sin barreras en toda la facultad, pudiendo hacer uso de cualquiera de las instalaciones dispuestas en los 3 niveles que la conforman.;S?;Se han realizado diversas rampas e instalado un ascensor. Se incorporaron barandas en rampas, umbrales autodeslizantes, ajustado desniveles e incorporado protecci?n a las barandas y escalones, ?sto permite una accesibilidad sin barreras en toda la facultad, pudiendo hacer uso de cualquiera de las instalaciones dispuestas en los 3 niveles que la conforman.;S?;B?sica.;B?sica.;;
-34.897.625.360.687;-56.163.954.731.913;8;20/04/2015 - 12:04;Plaza Perico P?rez Aguirre;Parques y plazas;Lord Ponsomby esquina Bv. Gral. Artigas;http://www.montevideo.gub.uy/aplicacion/como-ir?key=z8lwqq7vx7;TRES CRUCES;;;1950 7054; municipioch@imm.gub.uy;http://municipioch.montevideo.gub.uy/;La plaza ha sido reformada en el marco del Compromiso de Accesibilidad con la colaboraci?n del BSE. Se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con calesita inclusiva, hamacas accesible para personas en silla de ruedas, hamacas accesibles reclinadas y con agarres en velcro y juegos sonoros.;;Rebaje de cord?n.;;;;SI;Rebaje de cord?n.;S?;Ba?os accesibles;Los ba?os son de uso p?blico pero se necesita pagar para utilizarlos.;S?.;No;Es un espacio recreativo libre que cuenta con calesita inclusiva, hamacas accesible para personas en silla de ruedas, hamacas accesibles reclinadas y con agarres en velcro y juegos sonoros.;No;Carteler?a apenas descriptiva. Accesibilidad b?sica.;Carteler?a apenas descriptiva. Accesibilidad b?sica.;;
-34.905.897.293.289;-56.183.985.468.837;70;20/04/2015 - 12:01;Facultad de Ciencias Sociales UdelaR;Centros educativos;Constituyente 1502;http://www.montevideo.gub.uy/aplicacion/como-ir?key=cc7cs5q96l;CENTRO;;;2410-6720;comunicacion@cienciassociales.edu.uy;http://cienciassociales.edu.uy/;"El acceso principal a la facultad cuenta con rampa de metal con barandas. En el interior tambi?n existen rampas para los desniveles. Cuenta con dos ascensores que permiten el acceso a todos los niveles del edificio, con numeraci?n en braile y audio (voz) gu?a.?os accesibles en 6to y 7to piso y anexo.En cantina y bedel?a los mostradores se encuentran a una altura adecuada para el mejor acceso de las personas en silla de ruedas.La Facultad de Ciencias Sociales fue creada por resoluci?n del Consejo Directivo Central en 1989 y comenz? a funcionar en 1991. El objetivo de la nueva Facultad fue alentar el desarrollo disciplinario e interdisiciplinario en Ciencias Sociales, tanto a trav?s de la investigaci?n como de la docencia de grado y posgrado. A nivel de Cursos de Grado, la Facultad ofrece hoy cinco licenciaturas de cuatro a?os de duraci?n: Ciencia Pol?tica, Sociolog?a, Desarrollo y Trabajo Social, en Montevideo; y;  Ciencias Sociales y Trabajo Social en Regional Norte, Salto. La ense?anza en las FCS ha tenido un significativo impulso con la aprobaci?n y puesta en marcha del nuevo Plan de Estudios 2009.";;Rebaje de cord?n. ;;;Corrediza;SI;Rampa de acceso principal de metal con barandas a los lados. ;S?;Ba?os accesibles;Ba?os accesibles en 6to y 7to piso y en anexo.;S?. Se accede por ascensor a todos los niveles, los botones del mismo cuentan con numeraci?n en braile y audio-gu?a. ;S?;Rampa de acceso principal y en desniveles internos.Ba?os accesibles.Mostradores de bedel?as y cantina en altura adecuada para personas en silla de ruedas.;No;Carteler?a, informaci?n y mapas dispuestos a lo largo de todo el edificio.;Carteler?a, informaci?n y mapas dispuestos a lo largo de todo el edificio.;;
-34.897.641.453.941;-56.073.963.937.254;10;20/04/2015 - 11:24;Playa Verde;Playa;Rambla Rep?blica de M?xico;http://www.montevideo.gub.uy/aplicacion/como-ir?key=5x1bverume;PUNTA GORDA;;112, 306;1950 7343;;http://municipioe.montevideo.gub.uy/comunicacion/noticias/playa-verde-y-accesible;Una de las playas de Montevideo que cuenta con accesibilidad. Rampa de hormig?n con barandas y caminero de tablones de madera hasta la arena.Ba?o accesible en temporada de verano.Pasando la Playa Malv?n, la Honda y la de los Ingleses se encuentra la Playa Verde, caracterizada por sus arenas blancas y su lindo entorno barrial. La rambla sobre esta playa se hace m?s amplia y cuenta con una variada oferta gastron?mica.Es una de las mejores playas montevideanas para ba?os, pero con olas m?s agitadas que las playas Ram?rez o Pocitos, siendo un escenario bastante frecuente de deportes como el surf.La Rambla de la Playa Verde es un paseo delicioso en cualquier ?poca del a?o, resaltando la maravillosa vista.;;Rampa de acceso universal, ubicada en Rambla Rep?blica de M?xico frente a la calle L?bano.La misma consta de un tramo realizado en hormig?n con barandas, y un caminero realizado en tablas de madera que pasa la duna y permite el acceso a la arena.;;;;SI;Tramo realizado en hormig?n con barandas, y un caminero realizado en tablas de madera que pasa la duna y permite el acceso a la arena.;S?;Ba?os accesibles;Ba?o qu?mico colocado en temporada de verano.;;No;Rampa de acceso. Caminero en tablas de madera hasta la arena. Ba?o accesible.;S?;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;;
-34.836.964.521.605;-56.272.493.001.909;24;17/04/2015 - 15:42;Plaza Carlos Caffa;Parques y plazas;Cno. Tomkinson (esq. Luis Batlle Berres);http://www.montevideo.gub.uy/aplicacion/como-ir?key=l8l1oxd2ia;PASO DE LA ARENA;;127, 128, 135, 137, 427, 494, 495, ;1950 7051;municipioa@imm.gub.uy;http://municipioa.montevideo.gub.uy/comunicacion/noticias/un-espacio-que-recuerda-a-carlos;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas y calesita inclusiva.;;Rebaje de cord?n. Caminer?a de material.;;;;SI;Rebaje de cord?n.;S?;No hay ba?os;;S?.;No;Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas y calesita inclusiva.;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.865.224.275.788;-56.253.798.005.076;25;17/04/2015 - 15:39;Plaza Barrio Artigas;Parques y plazas;Barrio Artigas (a dos cuadras del Tr?coli);http://www.montevideo.gub.uy/aplicacion/como-ir?key=7i1mgfdocy;CERRO;;;1950 7051;municipioa@imm.gub.uy;http://municipioa.montevideo.gub.uy;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas y calesita inclusiva.;;Rebaje de cord?n.;;;;SI;Rebaje de cord?n.;S?;No hay ba?os;;Dificultosa.;No;Rebaje de cord?n. Juegos inclusivos. Circulaci?n dificultosa.;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.839.249.763.686;-56.244.598.028.156;26;17/04/2015 - 15:37;Plaza Onetti;Parques y plazas;Anagualpo (esq. Timote);http://www.montevideo.gub.uy/aplicacion/como-ir?key=g6k7a467em;NUEVO PARIS;;;1950 7051;;http://municipioa.montevideo.gub.uy;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos.Es un espacio recreativo libre que cuenta con calesita inclusiva.;;No hay veredas ni rebaje de cord?n. Espacio rodeado de pasto. Circulaci?n muy dificultosa.;;;;NO;;S?;No hay ba?os;;No. Pasto, sin rebajes de cord?n ni se?alizaci?n para personas con discapacidad visual.;No;Es un espacio recreativo libre que cuenta con calesita inclusiva. No cuenta con una adecuada circulaci?n ya que esta rodeada de pasto y tierra y sin rebaje de cord?n ni rampas de acceso.;No;No.;No.;;
-34.865.503.225.523;-56.208.747.622.462;67;17/04/2015 - 15:16;Escuela Horizonte;Parques y plazas;Av. Agraciada 3591;http://www.montevideo.gub.uy/aplicacion/como-ir?key=rdsjnb7s6h;;;;2309 6572;info@escuelahorizonte.com.uy;http://www.escuelahorizonte.com.uy/;Escuela Especial habilitada que trabaja con ni?os portadores de par?lisis cerebral en sus niveles m?s comprometidos.La Intendencia de Montevideo, en el marco del Compromiso de Accesibilidad, otorg? a dicha escuela una bater?a de juegos inclusivos y accesibles, con el fin de poder ser disfrutados no solo por los ni?os y ni?as que all? concurren, sino tambi?n por todo el barrio.;;Rebaje de cord?n. Rampa.;;;;SI;Rebaje de cord?n.;S?;Ba?os accesibles;Dentro de la Escuela.;S?.;No;Juegos inclusivos. Ba?os accesibles dentro de la Escuela.;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.846.202.049.454;-56.192.064.282.391;17;17/04/2015 - 15:06;Parque LIneal Andaluc?a;Parques y plazas;Costanera sur del arroyo Miguelete, entre los Bv Batlle y Ord??ez y Aparicio Saravia.;http://www.montevideo.gub.uy/aplicacion/como-ir?key=ukqo9jn5s0;PASO DE LAS DURANAS;;;1950 7925;municipiog@imm.gub.uy;http://www.municipiog.montevideo.gub.uy;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se mejor? la caminer?a interna para su mejor circulaci?n. Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas y calesita inclusiva.;;Veredas con rebaje de cord?n y accesibilidad.;;;;SI;Rebaje de cord?n.;S?;No hay ba?os;;Dificultosa. Sin se?alizaci?n para personas con discapacidad visual.;No;Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas?y calesita inclusiva.?;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.834.132.108.887;-5.617.363.214.204;16;17/04/2015 - 15:03;Plaza Casavalle;Parques y plazas; Bv Aparicio Saravia (esq. Avenida Gustavo Volpe);http://www.montevideo.gub.uy/aplicacion/como-ir?key=znuah03mam;CASAVALLE;;;1950 7472;municipiod@imm.gub.uy;http://mvd2030.montevideo.gub.uy/proyecto/plaza-casavalle;El proyecto se desarroll? en el marco del Plan Cuenca Casavalle, un programa integral que se desarrolla a partir de una fuerte articulaci?n interinstitucional y con la sociedad civil.La plaza cuenta con un espacio polideportivo, cancha de f?tbol c?sped, juegos infantiles inclusivos (hamaca y calesita) y saludables, una fuente con juegos de agua y servicios higi?nicos p?blicos (accesibles). Todas las ?reas y servicios son de accesibilidad universal.;;Veredas accesibles y se?alizadas para personas con discapacidad visual.;;;;SI;Rebaje de cord?n. Rampa de material con barandas.;S?;Ba?os accesibles;Ba?os p?blicos junto a la oficina de guardaparques de la plaza.;S?.;No;Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas y calesita inclusiva.;S?;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.910.478.506.286;-56.200.497.147.533;13;17/04/2015 - 14:59;Plaza Rep?blica Argentina;Parques y plazas;Rambla Gran Breta?a (esq. Cuidadela);http://www.montevideo.gub.uy/aplicacion/como-ir?key=upfz0muipg;CIUDAD VIEJA;;;1950 7052;municipiob@imm.gub.uy;http://municipiob.montevideo.gub.uy/comunicacion/noticias/un-municipio-disfrutable-es-posible;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas y calesita inclusiva.;;Mejoras de accesibilidad en el entorno de veredas y rebajes de cord?n.;;;;SI;Rebaje de cord?n.;S?;No hay ba?os;;S?.;No;Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas y calesita inclusiva.;No;Carteler?a solo descriptiva. Accesibilidad b?sica.;Carteler?a solo descriptiva. Accesibilidad b?sica.;;
-34.900.586.519.439;-56.176.164.147.348;20;17/04/2015 - 14:52;Plaza del Canillita ;Parques y plazas;Colonia (esq. Fernandez Crespo);http://www.montevideo.gub.uy/aplicacion/como-ir?key=590lp8o3wu;CORDON;;;1950 7052; municipiob@imm.gub.uy;http://municipiob.montevideo.gub.uy;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Plaza en la explanada del BPS que cuenta con hamaca accesible para personas en silla de ruedas, este caso instalados a impulso de la Asociaci?n Cristiana de J?venes, que se encuentra en frente a la misma, y se encarga del mantenimiento.;;Veredas con rebaje de cord?n. ;;;;SI;Rebaje de cord?n. Acceso a la explanada.;S?;No hay ba?os;;S?.;;Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas.;No;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;;
-34.896.895.799.837;-56.172.055.003.137;74;17/04/2015 - 14:38;Plaza Gral. Liber Seregni;Parques y plazas;Haedo, Requena, Mart?n C. Mart?nez y Daniel Mu?oz.;http://www.montevideo.gub.uy/aplicacion/como-ir?key=8yxaht9flj;CORDON;;;1950 7052;municipiob@imm.gub.uy;http://www.montevideo.gub.uy/institucional/noticias/un-parque-para-seregni;La plaza se construy? en un parque urbano que abarca una superficie de 16.000 metros cuadrados. La obra fue elegida por los vecinos de zona 2 a trav?s del Presupuesto Participativo.Cuenta con accesibilidad, rebajes de cord?n y rampas internas. Juegos saludable, y juegos para ni?os no accesibles. No tiene ba?os accesibles.Es un espacio recreativo libre donde se desarrollan una gran variedad de actividades culturales y recreativas.;;Rebaje de cord?n.;;;;SI;Rebaje de cord?n. ;S?;Ba?os no accesibles;Los ba?os est?n abiertos al p?blico desde las 9am hasta las 21hs, los mismos se encuentran junto a las oficinas de los guardaparques de la plaza.;S?.;No;Rampas. Circu?tos accesibles. No hay ba?os accesibles.;No;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;;
-34.894.513.998.229;-56.164.340.970.013;42;17/04/2015 - 14:36;Plaza Democracia;Parques y plazas;Av. Italia y Bvar. Artigas;http://www.montevideo.gub.uy/aplicacion/como-ir?key=gn1uz36yjp;TRES CRUCES;;64, 21, 370, D10, Interdepartamentales (varios m?s);1950 7052;municipiob@imm.gub.uy;http://municipioch.montevideo.gub.uy/;Plaza que ha sido reformada en el marco del Compromiso de Accesibilidad, donde se colocaron juegos inclusivos y se reform? la caminer?a interna. Es un espacio recreativo libre que cuenta con calesita inclusiva y hamaca accesible para personas en silla de ruedas.;;Rebaje de cord?n.;;;;SI;Rebaje de cord?n.;S?;No hay ba?os;;S?.;No;Es un espacio recreativo libre que cuenta con hamaca accesible para personas en silla de ruedas y calesita inclusiva.;No;Carteler?a solo descriptiva. Accesibilidad b?sica. ;Carteler?a solo descriptiva. Accesibilidad b?sica. ;;
